...1,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,train_size,rsq_train,rsq_val,rsq_test,nrmse_train,nrmse_val,nrmse_test,nrmse,decomp.rssd,mape,lambda,lambda_hp,lambda_max,lambda_min_ratio,solID,trial,iterNG,iterPar,iterations,robynPareto,total_spend,mean_spend,mean_spend_adstocked,mean_carryover,mean_response,spend_share,effect_share,roi_mean,roi_total,cpa_total,cluster,top_sol,boot_mean,boot_se,ci_low,ci_up,carryover_pct
1,(Intercept),"317,2045744","85010,82595","0,941219173","317,2045744","0,9203750569","85010,82595","0,941219173","317,2045744","0,9203750569",TRUE,"0,8697511765","0,0333519897","-11,407871","-7,562256306","0,1328764478","0,8405132468","0,8003739536","0,8405132468","0,001459664937",0,"6965,504343","0,491420451","14172,75885","0,0001",1_40_2,1,40,2,431,5,,,,,,,,,,,8,FALSE,,,,,
2,weekday,"0,02054860045","0,5082458965","0,000005627174858","0,001896439912","0,000005502556183","0,5082458965","0,000005627174858","0,001896439912","0,000005502556183",TRUE,"0,8697511765","0,0333519897","-11,407871","-7,562256306","0,1328764478","0,8405132468","0,8003739536","0,8405132468","0,001459664937",0,"6965,504343","0,491420451","14172,75885","0,0001",1_40_2,1,40,2,431,5,,,,,,,,,,,8,FALSE,,,,,
3,GT,"0,0550974656","940,1831531","0,01040947903","3,508146094","0,01017895207","940,1831531","0,01040947903","3,508146094","0,01017895207",TRUE,"0,8697511765","0,0333519897","-11,407871","-7,562256306","0,1328764478","0,8405132468","0,8003739536","0,8405132468","0,001459664937",0,"6965,504343","0,491420451","14172,75885","0,0001",1_40_2,1,40,2,431,5,,,,,,,,,,,8,FALSE,,,,,
4,CP_campaigns,"1,139312004","3,417936013","0,0000378425556","1,139312004","0,003305735274","3,417936013","0,0000378425556","1,139312004","0,003305735274",TRUE,"0,8697511765","0,0333519897","-11,407871","-7,562256306","0,1328764478","0,8405132468","0,8003739536","0,8405132468","0,001459664937",0,"6965,504343","0,491420451","14172,75885","0,0001",1_40_2,1,40,2,431,5,,,,,,,,,,,8,FALSE,,,,,
5,obon230812,"1,389229993","1,389229993","0,00001538121634","1,389229993","0,004030877033","1,389229993","0,00001538121634","1,389229993","0,004030877033",TRUE,"0,8697511765","0,0333519897","-11,407871","-7,562256306","0,1328764478","0,8405132468","0,8003739536","0,8405132468","0,001459664937",0,"6965,504343","0,491420451","14172,75885","0,0001",1_40_2,1,40,2,431,5,,,,,,,,,,,8,FALSE,,,,,
6,GW230429,"1,00071261","1,00071261","0,00001107964644","1,00071261","0,002903586518","1,00071261","0,00001107964644","1,00071261","0,002903586518",TRUE,"0,8697511765","0,0333519897","-11,407871","-7,562256306","0,1328764478","0,8405132468","0,8003739536","0,8405132468","0,001459664937",0,"6965,504343","0,491420451","14172,75885","0,0001",1_40_2,1,40,2,431,5,,,,,,,,,,,8,FALSE,,,,,
7,GW230430,"2,841799967","2,841799967","0,00003146371753","2,841799967","0,008245536217","2,841799967","0,00003146371753","2,841799967","0,008245536217",TRUE,"0,8697511765","0,0333519897","-11,407871","-7,562256306","0,1328764478","0,8405132468","0,8003739536","0,8405132468","0,001459664937",0,"6965,504343","0,491420451","14172,75885","0,0001",1_40_2,1,40,2,431,5,,,,,,,,,,,8,FALSE,,,,,
8,Digital_Weighted,"20,59825765","1262,488934","0,01397797018","4,710779603","0,01366841589","1262,488934","0,01397797018","4,710779603","0,01366841589",TRUE,"0,8697511765","0,0333519897","-11,407871","-7,562256306","0,1328764478","0,8405132468","0,8003739536","0,8405132468","0,001459664937",0,"6965,504343","0,491420451","14172,75885","0,0001",1_40_2,1,40,2,431,5,"7641642,865","28513,59278","40182,8611","11669,26832","4,978661379","0,4088796847","0,4083832625","0,0001746065961","0,0001652117164","6052,839484",8,FALSE,"6032,971096","44,67138237","5726,585981","6344,660336","0,3020351439"
9,TV_Like_Weighted,"13,45114412","473,9672909","0,00524765048","3,038251865","0,008815545104","473,9672909","0,00524765048","3,038251865","0,008815545104",TRUE,"0,8697511765","0,0333519897","-11,407871","-7,562256306","0,1328764478","0,8405132468","0,8003739536","0,8405132468","0,001459664937",0,"6965,504343","0,491420451","14172,75885","0,0001",1_40_2,1,40,2,431,5,"2878262,852","10739,78676","25226,61488","14486,82812","1,66238592","0,1540065701","0,1533164398","0,0001547876095","0,0001646713019","6072,703554",8,FALSE,"6044,502188","47,11224809","5721,314115","6373,160349","0,5516422709"
10,SEM_TimeWeighted,"16,19343337","1354,975402","0,01500195785","5,055878367","0,01466972646","1354,975402","0,01500195785","5,055878367","0,01466972646",TRUE,"0,8697511765","0,0333519897","-11,407871","-7,562256306","0,1328764478","0,8405132468","0,8003739536","0,8405132468","0,001459664937",0,"6965,504343","0,491420451","14172,75885","0,0001",1_40_2,1,40,2,431,5,"8169315,465","30482,52039","37661,00029","7178,479896","5,364405022","0,4371137452","0,4383002977","0,0001759829881","0,0001658615594","6029,124552",8,FALSE,"6008,142515","47,66433397","5681,258858","6340,743766","0,3861537854"
