...1,solID,mape,decomp.rssd,nrmse,nrmse_test,nrmse_train,nrmse_val,BRAND_thetas,Digital_Weighted_thetas,GAMEPR_campaigns_thetas,INFLU_campaigns_thetas,SEM_TimeWeighted_thetas,TV_Like_Weighted_thetas,BRAND_alphas,Digital_Weighted_alphas,GAMEPR_campaigns_alphas,INFLU_campaigns_alphas,SEM_TimeWeighted_alphas,TV_Like_Weighted_alphas,BRAND_gammas,Digital_Weighted_gammas,GAMEPR_campaigns_gammas,INFLU_campaigns_gammas,SEM_TimeWeighted_gammas,TV_Like_Weighted_gammas,cluster,n,top_sol
1,1_40_2,0,"0,001459664937","0,8405132468","0,8003739536","0,1328764478","0,8405132468","0,2080481212","0,9875019306","0,7518865021","0,8020298339","0,118741672","0,5432764481","0,557712859","0,04874445952","0,8359752449","0,7467882642","0,4358528812","0,06177517932","0,1453817614","0,1431414991","0,01704203813","0,6036899454","0,2877087232","0,5055705908",8,9,FALSE
2,1_51_1,0,"0,001076934367","0,840919058","0,8021181162","0,1329175024","0,840919058","0,2080481212","0,9875019306","0,7518865021","0,8020298339","0,118741672","0,5432764481","0,0898241009","0,04874445952","0,8359752449","0,7467882642","0,4358528812","0,06177517932","0,05454699038","0,1431414991","0,01704203813","0,6036899454","0,2877087232","0,5055705908",8,9,FALSE
3,1_53_9,0,"0,001561074101","0,8404247891","0,8002948494","0,132963324","0,8404247891","0,2080481212","0,9875019306","0,7518865021","0,9866248881","0,118741672","0,5432764481","0,557712859","0,04874445952","0,8359752449","0,791453728","0,4358528812","0,06177517932","0,1453817614","0,1431414991","0,01704203813","0,7373139276","0,2877087232","0,5055705908",8,9,FALSE
4,1_54_4,0,"0,0007406996873","0,8024136652","0,7945060537","0,1337769105","0,8024136652","0,2722487768","0,9039399181","0,7605396252","0,8464312881","0,1269925749","0,5329530861","0,5388216247","0,07873202243","0,8172802797","0,5382299868","0,5022284358","0,1456236581","0,1763179103","0,2352357222","0,3783713353","0,6326747332","0,2650984419","0,4404440495",8,9,TRUE
5,1_56_6,0,"0,001489569139","0,8406556891","0,8002071816","0,1328696493","0,8406556891","0,1683088265","0,9875019306","0,7518865021","0,8020298339","0,118741672","0,5432764481","0,557712859","0,04874445952","0,8359752449","0,7467882642","0,4358528812","0,06177517932","0,8397930301","0,1431414991","0,01704203813","0,6036899454","0,2877087232","0,5055705908",8,9,FALSE
6,1_59_3,0,"0,001203196553","0,840468753","0,8003809264","0,1328731024","0,840468753","0,2080481212","0,9875019306","0,7518865021","0,8020298339","0,118741672","0,5432764481","0,557712859","0,04874445952","0,8359752449","0,7467882642","0,4358528812","0,06177517932","0,1453817614","0,1431414991","0,01704203813","0,6036899454","0,2877087232","0,2991930114",8,9,FALSE
7,1_70_11,0,"0,002576171952","0,7596141734","0,7956232164","0,1329687595","0,7596141734","0,4879526855","0,7765471953","0,8784254656","0,7694427553","0,2693223037","0,5167808129","0,8483793913",0,"0,9967598195","0,4832673597","0,3531852377",0,"0,3911524259","0,08446904625","0,8918596572","0,4261517264",0,0,8,9,FALSE
8,1_82_1,0,"0,00150761945","0,749679031","0,807391468","0,1329881855","0,749679031","0,4811204417","0,778671941","0,7882776434","0,7830097429","0,2373566135","0,4754449414","0,8252146147","0,04309579948","0,964510991","0,5029603602","0,4349118933","0,1122458747","0,4156738517","0,1640230527","0,7436943848","0,455136586","0,1439161181","0,1321934294",8,9,FALSE
9,1_90_3,0,"0,001526110037","0,7496673222","0,8073796397","0,1330131828","0,7496673222","0,4811204417","0,778671941","0,7882776434","0,8461564981","0,2373566135","0,4754449414","0,8252146147","0,04309579948","0,964510991","0,5029603602","0,4349118933","0,1122458747","0,4156738517","0,1640230527","0,7436943848","0,557870227","0,1439161181","0,1321934294",8,9,FALSE
10,1_126_5,0,"0,001501779071","0,7480308671","0,8055915079","0,1326540742","0,7480308671",0,"0,7731692366","0,4380673235","0,8430952838","0,1819906025","0,3196344538","0,09063743761","0,2329256506","0,8250611396","0,5792217736","0,7241355984","0,4214384537","0,9296250909",0,"0,1794584912","0,4780402525","0,6049020821","0,5114690836",7,7,FALSE
