...1,rn,cluster,n,boot_mean,boot_se,boot_ci,ci_low,ci_up,sd,dist100
1,Digital_Weighted,1,16,"1046,121738","248,0374984","[0, 3176.86]",0,"3176,855904","960,6451006","51,49642531"
2,Digital_Weighted,10,12,"579,0074445","8,745719704","[512.4, 645.76]","512,3959704","645,7583351","29,00627078","1,933079861"
3,Digital_Weighted,2,14,"608,483284","8,389259714","[540.85, 676.48]","540,8516244","676,4784262","30,24790606","1,981036504"
4,Digital_Weighted,3,11,"605,7800818","11,44501055","[521.92, 691.07]","521,9186236","691,0736031","36,19230117","2,439793756"
5,Digital_Weighted,4,15,"746,6680929","7,411743195","[685.29, 808.43]","685,293714","808,4283112","27,73220368","1,804030349"
6,Digital_Weighted,5,9,"1564,93807","181,8335641","[318.71, 2834.56]","318,706696","2834,560401","514,302985","35,80262298"
7,Digital_Weighted,6,15,"590,5037134","7,634149143","[526.8, 653.63]","526,7973453","653,6268717","28,56437053","1,858164318"
8,Digital_Weighted,7,7,"3706,541144","1136,32279","[0, 11110.71]",0,"11110,70854","2783,411019","168,4599048"
9,Digital_Weighted,8,9,"6032,971096","44,67138237","[5726.59, 6344.66]","5726,585981","6344,660336","126,3497496","8,795695494"
10,Digital_Weighted,9,12,"1252,217993","150,452297","[102.84, 2397.07]","102,8385188","2397,066413","498,993818","33,25470232"
11,SEM_TimeWeighted,1,16,"1040,029098","245,8177136","[0, 3151.59]",0,"3151,587263","952,0479108","51,0675059"
12,SEM_TimeWeighted,10,12,"585,062008","9,814626564","[510.54, 660.2]","510,541824","660,2038131","32,55143377","2,169341986"
13,SEM_TimeWeighted,2,14,"618,0157221","8,954122367","[546.14, 690.89]","546,1360082","690,8947855","32,28454732","2,114422949"
14,SEM_TimeWeighted,3,11,"617,1925455","7,443543593","[562.38, 672.4]","562,3843712","672,398465","23,53855162","1,586779768"
15,SEM_TimeWeighted,4,15,"746,4168906","8,700347045","[674.48, 819.02]","674,4785113","819,0212593","32,55371779","2,117678622"
16,SEM_TimeWeighted,5,9,"1567,315972","179,8775282","[334.41, 2823.2]","334,4133945","2823,203338","508,7704799","35,41748387"
17,SEM_TimeWeighted,6,15,"594,3658362","5,460540024","[548.78, 639.5]","548,7766885","639,4950766","20,43146992","1,329104323"
18,SEM_TimeWeighted,7,7,"3715,315922","1138,368986","[0, 11132.8]",0,"11132,80017","2788,423155","168,7843079"
19,SEM_TimeWeighted,8,9,"6008,142515","47,66433397","[5681.26, 6340.74]","5681,258858","6340,743766","134,8150951","9,385000985"
20,SEM_TimeWeighted,9,12,"1254,630857","150,9614981","[101.44, 2403.43]","101,4369019","2403,429538","500,6826468","33,36725181"
21,TV_Like_Weighted,1,16,"1034,986686","246,6047608","[0, 3153.39]",0,"3153,390604","955,0961319","51,14730169"
22,TV_Like_Weighted,10,12,"577,5475557","7,287861948","[522.21, 633.34]","522,2070958","633,3387734","24,17110361","1,610847322"
23,TV_Like_Weighted,2,14,"601,7043784","7,350981614","[542.49, 661.34]","542,4942926","661,3355444","26,50434113","1,73585792"
24,TV_Like_Weighted,3,11,"600,9382016","11,412883","[517.3, 685.98]","517,3019356","685,9820763","36,09070494","2,432944956"
25,TV_Like_Weighted,4,15,"734,769597","9,754462333","[654.09, 816.15]","654,0945698","816,1498055","36,49785604","2,374251997"
26,TV_Like_Weighted,5,9,"1558,821513","180,3268608","[322.96, 2817.96]","322,9570497","2817,96397","510,0413845","35,50595646"
27,TV_Like_Weighted,6,15,"585,9645953","3,126578921","[560.08, 612.02]","560,0808949","612,0241458","11,69858712","0,7610143947"
28,TV_Like_Weighted,7,7,"3665,819898","1119,713324","[0, 10961.84]",0,"10961,83551","2742,726301","166,1342234"
29,TV_Like_Weighted,8,9,"6044,502188","47,11224809","[5721.31, 6373.16]","5721,314115","6373,160349","133,2535604","9,276296509"
30,TV_Like_Weighted,9,12,"1239,364079","160,8520362","[10.18, 2462.99]","10,18241802","2462,994609","533,4858508","35,55337265"
