...1,BRAND_alphas,BRAND_gammas,BRAND_thetas,Digital_Weighted_alphas,Digital_Weighted_gammas,Digital_Weighted_thetas,GAMEPR_campaigns_alphas,GAMEPR_campaigns_gammas,GAMEPR_campaigns_thetas,INFLU_campaigns_alphas,INFLU_campaigns_gammas,INFLU_campaigns_thetas,SEM_TimeWeighted_alphas,SEM_TimeWeighted_gammas,SEM_TimeWeighted_thetas,TV_Like_Weighted_alphas,TV_Like_Weighted_gammas,TV_Like_Weighted_thetas,train_size,rsq_train,rsq_val,rsq_test,nrmse_train,nrmse_val,nrmse_test,nrmse,decomp.rssd,mape,lambda,lambda_hp,lambda_max,lambda_min_ratio,pos,Elapsed,ElapsedAccum,solID,trial,iterNG,iterPar,iterations,coef0,mape.qt10,robynPareto,error_score,cluster,top_sol
1,"2,02052157","0,865281253","0,2852800433","1,180753803","0,8284133862","0,2927789808","2,609371965","0,803699824","0,48705702","2,349820638","0,9208887598","0,6642089929","0,7431235382","0,8584017454","0,1914268564","1,453423594","0,8981091779","0,5831157143","0,8697511765","0,0333519897","-11,407871","-7,562256306","0,1328764478","0,8405132468","0,8003739536","0,8405132468","0,001459664937",0,"6965,504343","0,491420451","14172,75885","0,0001",1,"0,3069558144","43,95685053",1_40_2,1,40,2,431,FALSE,TRUE,5,"0,1129560426",8,FALSE
2,"1,000701706","0,8512168407","0,2852800433","1,180753803","0,8284133862","0,2927789808","2,609371965","0,803699824","0,48705702","2,349820638","0,9208887598","0,6642089929","0,7431235382","0,8584017454","0,1914268564","1,453423594","0,8981091779","0,5831157143","0,8697511765","0,03275457036","-11,41985527","-7,59961444","0,1329175024","0,840919058","0,8021181162","0,840919058","0,001076934367",0,"6965,504343","0,491420451","14172,75885","0,0001",1,"0,435138464","57,76879168",1_51_1,1,51,1,551,FALSE,TRUE,4,"0,1132284996",8,FALSE
3,"2,02052157","0,865281253","0,2852800433","1,180753803","0,8284133862","0,2927789808","2,609371965","0,803699824","0,48705702","2,459503059","0,9472194025","0,7905657123","0,7431235382","0,8584017454","0,1914268564","1,453423594","0,8981091779","0,5831157143","0,8697511765","0,03208756535","-11,40525947","-7,560563905","0,132963324","0,8404247891","0,8002948494","0,8404247891","0,001561074101",0,"6965,504343","0,491420451","14172,75885","0,0001",1,"0,3719742298","60,76610446",1_53_9,1,53,9,581,FALSE,TRUE,7,"0,1129438284",8,FALSE
4,"1,979345851","0,8700712552","0,3269937833","1,233676029","0,8461595094","0,2698300702","2,564930605","0,8675356821","0,4914906329","1,837676025","0,9266002203","0,6946021262","0,7792841875","0,8540546113","0,1969373798","1,591011302","0,885671467","0,5782748196","0,8739717691","0,03463452625","-12,26344049","-7,435194373","0,1337769105","0,8024136652","0,7945060537","0,8024136652","0,0007406996873",0,"6878,136574","0,4852553488","14172,75885","0,0001",1,"0,3679234982","61,61899352",1_54_4,1,54,4,587,FALSE,TRUE,3,"0,1120369024",8,TRUE
5,"2,02052157","0,9728005018","0,2594598303","1,180753803","0,8284133862","0,2927789808","2,609371965","0,803699824","0,48705702","2,349820638","0,9208887598","0,6642089929","0,7431235382","0,8584017454","0,1914268564","1,453423594","0,8981091779","0,5831157143","0,8697511765","0,03345090288","-11,41207689","-7,558688484","0,1328696493","0,8406556891","0,8002071816","0,8406556891","0,001489569139",0,"6965,504343","0,491420451","14172,75885","0,0001",1,"0,3884489536","64,03461385",1_56_6,1,56,6,611,FALSE,TRUE,6,"0,11292999",8,FALSE
6,"2,02052157","0,865281253","0,2852800433","1,180753803","0,8284133862","0,2927789808","2,609371965","0,803699824","0,48705702","2,349820638","0,9208887598","0,6642089929","0,7431235382","0,8584017454","0,1914268564","1,453423594","0,8586956818","0,5831157143","0,8697511765","0,03340066312","-11,40655737","-7,562405494","0,1328731024","0,840468753","0,8003809264","0,840468753","0,001203196553",0,"6965,504343","0,491420451","14172,75885","0,0001",1,"0,3332023621","67,20911789",1_59_3,1,59,3,641,FALSE,TRUE,4,"0,112956773",8,FALSE
7,"2,654064262","0,9033351821","0,467145261","1,094729296","0,8171074809","0,2348437872","2,991586382","0,9582533956","0,5518919675","1,70270745","0,8859048046","0,6419028896","0,6980871437","0,8030858302","0,2919950134","1,352056157","0,8015565166","0,5706912173","0,8507583971","0,02907400175","-7,803724611","-8,386059809","0,1329687595","0,7596141734","0,7956232164","0,7596141734","0,002576171952",0,"7035,951135","0,4963915253","14172,75885","0,0001",1,"0,4340143204","81,7291131",1_70_11,1,70,11,770,FALSE,TRUE,7,"0,1122151072",8,FALSE
8,"2,603573843","0,9071319599","0,4627060783","1,170785015","0,8324371633","0,2354273131","2,914925003","0,9320771143","0,5057028005","1,751066423","0,8916162792","0,6511895959","0,7426108987","0,8307556613","0,2706461154","1,536241403","0,8268025013","0,551307745","0,8503889813","0,02879028608","-7,82733236","-8,689702431","0,1329881855","0,749679031","0,807391468","0,749679031","0,00150761945",0,"7013,771462","0,4948264178","14172,75885","0,0001",1,"0,2142856121","94,33023334",1_82_1,1,82,1,892,FALSE,TRUE,6,"0,1140543681",8,FALSE
9,"2,603573843","0,9071319599","0,4627060783","1,170785015","0,8324371633","0,2354273131","2,914925003","0,9320771143","0,5057028005","1,751066423","0,9118599716","0,6944140304","0,7426108987","0,8307556613","0,2706461154","1,536241403","0,8268025013","0,551307745","0,8503889813","0,0284251422","-7,827056624","-8,689418525","0,1330131828","0,7496673222","0,8073796397","0,7496673222","0,001526110037",0,"7013,771462","0,4948264178","14172,75885","0,0001",1,"0,3224272728","103,200995",1_90_3,1,90,3,982,FALSE,TRUE,6,"0,1140525471",8,FALSE
10,"1,002474471","0,9867096592","0,1501028377","1,505797845","0,8008306934","0,2339160872","2,583427136","0,8323938539","0,326265044","1,938337207","0,896129453","0,6923186059","0,9001766928","0,919386483","0,2336688652","2,043598234","0,899235658","0,4782441284","0,8505792559","0,03366417031","-7,788561374","-8,646547068","0,1326540742","0,7480308671","0,8055915079","0,7480308671","0,001501779071",0,"6571,256008","0,4636003372","14172,75885","0,0001",1,"0,2468962669","145,3993044",1_126_5,1,126,5,1380,FALSE,TRUE,5,"0,1137726629",7,FALSE
